age,workclass,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,income,region
50,Self-emp-inc,7,Never-married,Exec-managerial,Other-relative,White,Male,40,>50K,United States
44,Private,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,6,>50K,United States
51,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,>50K,Asia
41,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
37,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,United States
55,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,>50K,Europe
39,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,Male,60,>50K,United States
42,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,United States
49,Private,13,Married-civ-spouse,Sales,Husband,White,Male,55,>50K,United States
47,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
41,Local-gov,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,United States
55,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
39,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,65,>50K,United States
42,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,United States
46,Private,14,Married-civ-spouse,Sales,Husband,White,Male,65,>50K,United States
40,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
32,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,>50K,United States
41,Self-emp-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,United States
60,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,>50K,United States
31,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,>50K,Asia
58,Self-emp-not-inc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,>50K,United States
37,Self-emp-inc,13,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,United States
44,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
55,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
44,Self-emp-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,>50K,United States
39,Private,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67,>50K,Asia
46,Self-emp-not-inc,13,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,United States
39,Private,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,>50K,United States
62,Self-emp-inc,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,>50K,United States
31,Self-emp-not-inc,9,Married-civ-spouse,Other-service,Wife,White,Female,40,>50K,United States
46,Private,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,35,>50K,Asia
46,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,>50K,United States
39,Self-emp-inc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
39,Private,15,Married-civ-spouse,Sales,Husband,White,Male,99,>50K,United States
59,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,United States
50,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,United States
46,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,>50K,United States
53,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
50,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,>50K,United States
41,Self-emp-inc,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,55,>50K,United States
36,Private,13,Married-civ-spouse,Sales,Husband,White,Male,45,>50K,United States
38,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,90,>50K,United States
54,Private,10,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,United States
50,Private,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,20,>50K,United States
47,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,United States
47,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,United States
67,Private,13,Widowed,Exec-managerial,Not-in-family,White,Male,40,>50K,United States
67,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,>50K,United States
72,Self-emp-not-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,25,>50K,United States
46,Self-emp-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
78,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
71,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,United States
83,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,United States
68,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
26,Private,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,<=50K,United States
68,State-gov,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,United States
49,Self-emp-inc,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,>50K,United States
70,Self-emp-not-inc,13,Married-civ-spouse,Craft-repair,Husband,White,Male,12,>50K,United States
27,Private,10,Married-civ-spouse,Adm-clerical,Wife,Black,Female,20,<=50K,United States
81,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,26,>50K,United States
66,Self-emp-not-inc,16,Married-civ-spouse,Sales,Husband,White,Male,25,>50K,United States
71,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
68,Private,10,Married-civ-spouse,Sales,Husband,White,Male,55,>50K,United States
52,Private,9,Married-civ-spouse,Sales,Husband,Black,Male,40,<=50K,United States
70,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
59,Local-gov,9,Widowed,Farming-fishing,Unmarried,White,Male,40,<=50K,United States
61,Private,3,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,<=50K,United States
42,Private,9,Never-married,Adm-clerical,Other-relative,Black,Female,40,<=50K,Latin America
69,Private,13,Widowed,Prof-specialty,Not-in-family,White,Male,40,>50K,United States
33,Private,9,Divorced,Craft-repair,Not-in-family,White,Male,84,<=50K,United States
30,Self-emp-not-inc,10,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,40,<=50K,Other
40,Private,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,48,<=50K,Asia
38,Private,10,Separated,Machine-op-inspct,Not-in-family,White,Male,55,>50K,United States
46,State-gov,12,Divorced,Adm-clerical,Unmarried,White,Male,38,>50K,United States
29,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,45,>50K,United States
39,Private,9,Never-married,Craft-repair,Own-child,White,Male,42,>50K,United States
47,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,40,>50K,United States
26,Private,13,Never-married,Exec-managerial,Not-in-family,White,Male,45,>50K,United States
23,Private,13,Never-married,Prof-specialty,Own-child,White,Female,40,>50K,United States
33,Private,8,Divorced,Craft-repair,Not-in-family,White,Male,42,<=50K,United States
57,Private,10,Widowed,Adm-clerical,Unmarried,White,Female,38,>50K,United States
44,Federal-gov,13,Divorced,Tech-support,Not-in-family,White,Male,40,>50K,United States
49,State-gov,16,Never-married,Exec-managerial,Not-in-family,White,Female,50,>50K,United States
55,Private,10,Widowed,Farming-fishing,Not-in-family,White,Male,62,>50K,United States
45,Private,9,Divorced,Farming-fishing,Not-in-family,White,Male,44,>50K,United States
48,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,40,>50K,United States
31,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
55,Local-gov,9,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,40,>50K,United States
70,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
70,Self-emp-not-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,8,>50K,United States
73,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
72,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,28,>50K,United States
23,Self-emp-not-inc,13,Never-married,Adm-clerical,Own-child,White,Male,40,>50K,United States
49,Local-gov,5,Widowed,Handlers-cleaners,Unmarried,White,Male,40,>50K,United States
27,Local-gov,10,Never-married,Protective-serv,Not-in-family,White,Male,40,>50K,United States
67,Private,13,Divorced,Exec-managerial,Not-in-family,White,Female,5,<=50K,United States
24,Private,10,Never-married,Adm-clerical,Not-in-family,White,Male,24,<=50K,United States
39,Private,10,Never-married,Other-service,Own-child,Black,Female,40,<=50K,United States
32,Private,10,Never-married,Machine-op-inspct,Other-relative,White,Female,40,<=50K,Europe
42,Self-emp-inc,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,60,>50K,Asia
28,Private,4,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,40,<=50K,Latin America
41,Self-emp-inc,11,Married-civ-spouse,Sales,Husband,Other,Male,84,<=50K,Latin America
45,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,45,<=50K,United States
47,Self-emp-not-inc,3,Married-civ-spouse,Sales,Husband,White,Male,50,<=50K,Latin America
41,Self-emp-not-inc,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,United States
65,Self-emp-not-inc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,10,>50K,United States
70,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,>50K,United States
75,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
65,State-gov,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K,United States
65,Federal-gov,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,>50K,United States
73,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
19,Self-emp-not-inc,7,Married-civ-spouse,Craft-repair,Own-child,White,Male,55,<=50K,United States
45,Federal-gov,12,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,40,<=50K,Asia
64,Private,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,60,<=50K,Asia
30,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K,United States
41,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,<=50K,United States
52,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
38,Federal-gov,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K,United States
29,Private,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,<=50K,United States
38,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,Europe
38,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,United States
53,Local-gov,9,Married-civ-spouse,Other-service,Husband,White,Male,45,<=50K,United States
32,Federal-gov,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,<=50K,Asia
28,Local-gov,12,Married-civ-spouse,Protective-serv,Husband,White,Male,40,<=50K,Europe
26,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,United States
36,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K,United States
34,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,<=50K,United States
53,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K,United States
30,Private,9,Never-married,Adm-clerical,Unmarried,White,Male,42,<=50K,United States
23,Private,9,Never-married,Adm-clerical,Own-child,Black,Male,40,<=50K,United States
54,Self-emp-not-inc,9,Widowed,Craft-repair,Not-in-family,White,Male,35,<=50K,United States
19,Private,10,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K,United States
24,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,37,<=50K,United States
21,Local-gov,10,Never-married,Other-service,Not-in-family,White,Female,40,<=50K,United States
19,Private,9,Never-married,Adm-clerical,Own-child,White,Male,40,<=50K,United States
31,Private,9,Never-married,Farming-fishing,Not-in-family,White,Male,40,<=50K,United States
27,Private,10,Never-married,Craft-repair,Own-child,Asian-Pac-Islander,Male,40,<=50K,Asia
31,Self-emp-not-inc,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,60,<=50K,United States
27,Federal-gov,9,Never-married,Craft-repair,Not-in-family,Black,Male,40,<=50K,United States
42,Private,9,Divorced,Transport-moving,Not-in-family,White,Male,46,<=50K,United States
44,Private,10,Separated,Exec-managerial,Not-in-family,White,Male,45,<=50K,Europe
35,Private,6,Widowed,Other-service,Not-in-family,Black,Female,40,<=50K,United States
40,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,48,<=50K,United States
31,Private,11,Never-married,Transport-moving,Own-child,White,Male,60,<=50K,United States
30,Private,9,Never-married,Sales,Not-in-family,White,Female,40,<=50K,United States
25,Private,10,Never-married,Adm-clerical,Not-in-family,White,Male,40,<=50K,United States
34,Private,9,Never-married,Transport-moving,Own-child,White,Male,40,<=50K,United States
51,Private,10,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,United States
40,Private,12,Married-civ-spouse,Tech-support,Husband,White,Male,60,>50K,United States
41,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,>50K,United States
49,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
37,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
36,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,45,>50K,United States
35,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,>50K,United States
29,Self-emp-inc,9,Married-civ-spouse,Sales,Wife,White,Female,25,>50K,United States
50,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,>50K,United States
46,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,United States
44,Self-emp-not-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
42,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
38,Federal-gov,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
45,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,United States
43,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,United States
47,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,United States
58,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
48,Private,15,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,United States
42,Local-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,>50K,United States
55,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
51,Private,6,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,United States
32,Private,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,>50K,United States
45,Local-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
56,Private,14,Married-civ-spouse,Craft-repair,Husband,White,Male,44,>50K,United States
38,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,United States
45,Private,11,Married-civ-spouse,Sales,Husband,White,Male,50,>50K,United States
49,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,>50K,United States
36,Private,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
49,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
30,Private,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,>50K,Asia
42,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
55,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
34,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
54,Private,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
42,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,>50K,United States
25,Local-gov,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
55,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
58,State-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
62,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,60,>50K,United States
43,Self-emp-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
57,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,Black,Female,40,>50K,United States
42,Self-emp-inc,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,United States
63,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,32,>50K,Asia
47,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
37,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
40,Private,13,Married-civ-spouse,Sales,Husband,White,Male,60,>50K,United States
43,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
43,State-gov,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,70,>50K,United States
41,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,United States
32,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,United States
47,Private,13,Married-civ-spouse,Sales,Husband,White,Male,40,>50K,United States
39,Federal-gov,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,60,>50K,United States
53,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
34,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
36,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
47,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,41,>50K,United States
52,Private,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
40,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,Other,Male,60,>50K,United States
42,Self-emp-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
51,Private,14,Married-civ-spouse,Protective-serv,Husband,White,Male,40,>50K,United States
55,Private,14,Married-civ-spouse,Tech-support,Husband,White,Male,20,>50K,United States
38,Private,9,Married-civ-spouse,Sales,Husband,White,Male,99,>50K,United States
52,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
60,Federal-gov,9,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,United States
55,Private,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,Europe
47,Local-gov,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,50,>50K,United States
46,Private,14,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,United States
35,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,United States
59,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
57,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,United States
46,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
46,Federal-gov,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
52,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
45,Private,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,30,>50K,United States
37,Private,13,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,United States
46,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
44,Private,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,50,>50K,United States
45,Private,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
43,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,52,>50K,United States
54,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
50,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
45,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
36,Private,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,United States
27,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,United States
36,Private,13,Married-civ-spouse,Sales,Husband,White,Male,35,>50K,United States
53,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,United States
51,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,>50K,United States
28,Private,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,24,>50K,United States
47,Self-emp-not-inc,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,>50K,United States
45,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,United States
45,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,>50K,United States
39,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
39,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
55,Self-emp-not-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
62,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,98,>50K,United States
49,Private,13,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,50,>50K,Other
53,Self-emp-not-inc,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
31,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,48,>50K,United States
42,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,Europe
39,Private,13,Married-civ-spouse,Transport-moving,Husband,White,Male,45,>50K,Asia
60,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,United States
26,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,United States
37,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
45,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,United States
37,Private,12,Married-civ-spouse,Sales,Husband,White,Male,45,>50K,United States
32,Private,13,Married-civ-spouse,Sales,Husband,White,Male,45,>50K,United States
39,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,United States
45,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,43,>50K,United States
41,Private,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,>50K,United States
36,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,65,>50K,United States
51,State-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,United States
39,Private,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,62,>50K,United States
56,Self-emp-not-inc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,United States
53,Federal-gov,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,40,>50K,United States
40,Self-emp-not-inc,11,Married-civ-spouse,Prof-specialty,Wife,White,Female,15,>50K,United States
57,Private,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40,>50K,United States
50,Local-gov,9,Married-civ-spouse,Craft-repair,Husband,White,Male,35,>50K,United States
34,Private,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,>50K,United States
35,Private,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,30,>50K,United States
30,Self-emp-not-inc,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,15,>50K,United States
53,Local-gov,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,>50K,United States
